["1640732400000","179.41000000","179.81000000","179.40000000","179.49000000","598.17000000","107475.19900000"],
["1640732460000","179.48000000","179.69000000","179.41000000","179.45000000","383.26000000","68822.92740000"],
["1640732520000","179.46000000","179.49000000","179.04000000","179.04000000","450.38000000","80709.50550000"],
["1640732580000","179.07000000","179.08000000","178.78000000","178.81000000","509.16000000","91099.04450000"],
["1640732640000","178.80000000","178.95000000","178.70000000","178.90000000","352.75000000","63079.48060000"],
["1640732700000","178.93000000","179.01000000","178.52000000","178.75000000","1142.20000000","204154.00810000"],
["1640732760000","178.76000000","179.27000000","178.76000000","179.15000000","344.91000000","61772.68390000"],
["1640732820000","179.14000000","179.14000000","178.87000000","178.98000000","516.61000000","92466.69720000"],
["1640732880000","179.00000000","179.33000000","178.91000000","179.16000000","475.49000000","85198.52270000"],
["1640732940000","179.19000000","179.36000000","178.88000000","178.92000000","381.87000000","68395.34520000"],
["1640733000000","178.93000000","179.02000000","178.62000000","178.62000000","693.40000000","124004.31560000"],
["1640733060000","178.62000000","178.69000000","178.51000000","178.54000000","412.10000000","73595.56910000"],
["1640733120000","178.56000000","178.74000000","178.53000000","178.69000000","576.08000000","102915.57000000"],
["1640733180000","178.70000000","178.79000000","178.57000000","178.78000000","538.48000000","96245.20630000"],
["1640733240000","178.78000000","179.10000000","178.77000000","178.96000000","409.37000000","73268.75150000"],
["1640733300000","178.97000000","179.37000000","178.97000000","179.24000000","330.56000000","59240.09830000"],
["1640733360000","179.28000000","179.56000000","179.25000000","179.55000000","270.16000000","48471.59720000"],
["1640733420000","179.53000000","179.57000000","179.45000000","179.46000000","224.07000000","40223.37520000"],
["1640733480000","179.43000000","179.81000000","179.30000000","179.56000000","1234.34000000","221639.82500000"],
["1640733540000","179.56000000","179.71000000","179.36000000","179.55000000","240.43000000","43152.77930000"],
["1640733600000","179.56000000","179.63000000","179.50000000","179.60000000","294.07000000","52801.11540000"],
["1640733660000","179.60000000","179.64000000","179.51000000","179.63000000","346.36000000","62201.03580000"],
["1640733720000","179.65000000","179.86000000","179.65000000","179.74000000","680.01000000","122217.73760000"],
["1640733780000","179.74000000","179.85000000","179.64000000","179.64000000","252.49000000","45379.99760000"],
["1640733840000","179.65000000","179.86000000","179.60000000","179.68000000","333.35000000","59923.90580000"],
["1640733900000","179.68000000","179.72000000","179.51000000","179.62000000","402.70000000","72332.82490000"],
["1640733960000","179.57000000","179.71000000","179.54000000","179.61000000","277.12000000","49778.51700000"],
["1640734020000","179.64000000","179.71000000","179.55000000","179.70000000","556.22000000","99910.78180000"],
["1640734080000","179.73000000","179.73000000","179.57000000","179.69000000","291.26000000","52321.54730000"],
